district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
浦东,新场镇,332,0.11416098284745532,0.1326304752917793,0.33617395113753407,0.40361544185035636,0.29513949601441386,0.28571580316938683
浦东,曹路镇,790,0.10258032809464696,0.12737328343094478,0.3381171636668077,0.37472871472881436,0.3304745079174349,0.290238400016719
浦东,沪东新村街道,670,0.09284066545638836,0.1569831183215813,0.4534412845511477,0.5837494531653186,0.38929098328453077,0.3347586365417377
浦东,泥城镇,331,0.13711331887231845,0.1493713303000198,0.3526767536609167,0.4568822465440779,0.2901089961263823,0.2735428255962071
浦东,洋泾街道,1265,0.07429833554291024,0.14608511007357503,0.45077672673601527,0.516293873143437,0.42117723453474215,0.387388581565923
浦东,浦兴路街道,1271,0.09975166271261474,0.16586505792373793,0.4692934487358155,0.5838038845143582,0.4198077115110179,0.3553567836048639
浦东,潍坊新村街道,766,0.10029789293876822,0.17029690645148493,0.48317680536317353,0.5521369655278636,0.4702582877100357,0.3909264738140623
浦东,祝桥镇,785,0.12925437894043557,0.13738084574061346,0.3252414686153187,0.3885375812937131,0.2923315592356067,0.2700415614614846
浦东,老港镇,15,0.2811119959077139,0.22798910678035053,0.36329173412267546,0.4838836819156657,0.30149913352861196,0.2568542584855798
浦东,航头镇,1422,0.09679008459251387,0.10760120393400666,0.2785031436418177,0.31545564054460107,0.27216571842770765,0.22825154389711838
浦东,花木街道,3034,0.10073290728659626,0.15526174335964735,0.43345125444640564,0.464506408349377,0.4468231704440612,0.3650423258049338
浦东,金杨新村街道,1311,0.0955391418813202,0.16584471717469873,0.47620416001702787,0.6032269770288429,0.41105267643761617,0.36417972980930013
浦东,金桥镇,488,0.09419110054221153,0.12318002297880248,0.33841667385653146,0.3613087143321726,0.33726824792251014,0.3033972054031352
浦东,陆家嘴街道,916,0.14312078172482018,0.1957894187172103,0.4874392095750126,0.5870351656251204,0.4410071517845107,0.3930905608015427
浦东,高东镇,310,0.08285965717112277,0.12067196312819183,0.350355231531677,0.46114931087827987,0.2961977474037784,0.24890518235617062
浦东,高桥镇,1024,0.13662954965107565,0.17973475727285018,0.4493162927071056,0.5820815199352307,0.3856398540604471,0.32603894324742727
浦东,高行镇,1364,0.09219530927894867,0.12479398726311695,0.347268590678983,0.42408006519612385,0.31340093238596384,0.2717849530617847
